transaction_id,event_time,card_id,amount,merchant,country,hour,is_fraud
txn_001,2026-01-01T09:15:00,card_001,24.50,grocery_us,US,9,0
txn_002,2026-01-01T12:44:00,card_002,18.20,coffee_us,US,12,0
txn_003,2026-01-01T18:05:00,card_003,63.10,fuel_us,US,18,0
txn_004,2026-01-02T08:22:00,card_004,31.00,pharmacy_us,US,8,0
txn_005,2026-01-02T22:41:00,card_001,420.00,new_electronics,US,22,1
txn_006,2026-01-03T02:10:00,card_005,780.00,cross_border_luxury,CA,2,1
txn_007,2026-01-03T11:20:00,card_006,14.80,coffee_us,US,11,0
txn_008,2026-01-03T16:35:00,card_007,89.00,grocery_us,US,16,0
txn_009,2026-01-04T01:05:00,card_008,540.00,new_marketplace,GB,1,1
txn_010,2026-01-04T13:27:00,card_009,42.00,restaurant_us,US,13,0
txn_011,2026-01-05T07:48:00,card_010,11.50,coffee_us,US,7,0
txn_012,2026-01-05T23:55:00,card_003,650.00,new_luxury,MX,23,1
